Distance,RSSI,SNR,Battery_Level,Packet_Loss_Rate,Node,Health
19.325,-61.11,14.49,43.3,9.99,THANU,FAILURE
14.049,-61.74,18.1,30.77,3.61,THANU,FAILURE
28.953,-82.5,9.17,99.55,8.08,THANU,NORMAL
6.96,-37.69,20.0,34.35,2.23,THANU,NORMAL
17.842,-68.73,12.05,44.05,3.42,THANU,WARNING
21.156,-70.01,16.03,53.29,11.2,THANU,WARNING
24.854,-73.74,14.23,76.56,0.0,THANU,WARNING
12.506,-46.62,20.0,23.69,14.1,THANU,NORMAL
20.764,-66.87,15.52,33.95,7.48,THANU,NORMAL
9.444,-46.14,20.0,99.72,9.31,THANU,WARNING
13.347,-45.9,19.74,84.26,0.41,THANU,WARNING
26.921,-76.13,13.54,49.95,0.0,THANU,NORMAL
28.522,-75.83,18.87,19.78,4.78,THANU,NORMAL
21.705,-48.34,17.25,88.0,13.59,THANU,NORMAL
11.543,-50.91,17.81,80.47,8.72,THANU,FAILURE
24.692,-86.31,9.34,62.26,3.43,THANU,FAILURE
1.263,-35.0,20.0,46.4,10.48,THANU,NORMAL
3.531,-35.0,20.0,94.21,11.14,THANU,WARNING
20.011,-68.48,14.99,36.61,4.74,THANU,WARNING
9.092,-37.49,20.0,38.88,11.86,THANU,WARNING
28.566,-76.53,14.68,88.8,2.2,THANU,WARNING
13.364,-40.89,19.33,66.37,6.55,THANU,NORMAL
13.166,-46.57,20.0,95.58,0.0,THANU,NORMAL
20.503,-64.33,17.7,68.05,14.69,THANU,WARNING
23.143,-74.73,12.87,12.97,8.97,THANU,NORMAL
14.529,-46.32,13.78,25.91,8.75,THANU,WARNING
6.813,-39.65,20.0,35.36,0.0,THANU,WARNING
23.313,-71.2,14.99,88.05,3.85,THANU,NORMAL
9.95,-35.0,19.15,84.78,4.75,THANU,NORMAL
5.666,-39.96,17.05,81.13,15.08,THANU,WARNING
19.133,-59.0,15.45,59.82,16.64,THANU,NORMAL
3.168,-35.0,20.0,22.51,6.24,THANU,NORMAL
29.155,-84.78,11.16,21.81,13.19,THANU,WARNING
19.156,-60.51,15.82,21.35,15.43,THANU,NORMAL
29.584,-81.98,11.49,86.92,11.11,THANU,FAILURE
10.497,-45.79,12.03,22.74,9.92,THANU,FAILURE
29.151,-72.13,16.61,82.77,6.49,THANU,WARNING
4.794,-35.0,17.85,86.03,3.02,THANU,WARNING
1.7,-35.0,19.51,19.45,7.23,THANU,NORMAL
1.473,-35.0,17.36,91.18,0.0,THANU,WARNING
14.214,-49.31,20.0,90.78,7.68,THANU,WARNING
2.949,-35.0,20.0,67.44,3.01,THANU,NORMAL
15.609,-52.21,16.83,56.17,2.65,THANU,WARNING
10.161,-44.32,15.51,68.26,8.4,THANU,NORMAL
10.401,-52.17,18.97,46.43,7.15,THANU,WARNING
19.25,-61.38,15.17,62.98,4.67,THANU,NORMAL
5.311,-37.93,20.0,97.26,10.21,THANU,FAILURE
23.113,-69.95,17.09,20.2,0.0,THANU,NORMAL
17.67,-55.47,12.24,31.04,0.85,THANU,WARNING
27.491,-78.08,14.68,57.17,2.68,THANU,WARNING
11.263,-43.29,15.89,33.27,15.43,THANU,WARNING
29.49,-90.76,12.08,99.35,9.82,THANU,NORMAL
17.487,-51.78,18.99,74.82,4.4,THANU,NORMAL
29.215,-90.39,2.89,49.06,15.99,THANU,WARNING
1.298,-35.0,20.0,91.25,3.01,THANU,WARNING
21.975,-58.35,13.52,23.0,4.15,THANU,WARNING
24.59,-62.34,18.82,35.91,12.41,THANU,NORMAL
2.069,-43.13,20.0,96.03,6.08,THANU,WARNING
17.58,-60.17,12.51,60.13,8.28,THANU,NORMAL
24.157,-69.78,12.52,92.86,12.91,THANU,WARNING
17.051,-57.87,20.0,98.58,5.53,THANU,NORMAL
2.383,-35.0,20.0,42.42,13.13,THANU,WARNING
20.957,-79.78,9.52,61.88,11.4,THANU,FAILURE
2.288,-35.0,20.0,86.2,2.06,THANU,FAILURE
24.615,-65.34,15.71,34.55,3.23,THANU,WARNING
1.77,-35.0,20.0,50.21,4.82,THANU,NORMAL
4.553,-41.84,16.97,23.8,2.76,THANU,WARNING
8.616,-38.38,17.04,68.73,6.55,THANU,NORMAL
19.184,-56.97,20.0,10.38,0.0,THANU,NORMAL
29.303,-74.86,11.13,50.44,3.69,THANU,NORMAL
3.976,-35.0,19.78,93.62,10.73,THANU,WARNING
4.71,-35.0,20.0,90.76,13.88,THANU,NORMAL
11.382,-38.54,20.0,82.34,9.25,THANU,FAILURE
25.168,-65.32,14.15,22.7,4.5,THANU,WARNING
14.283,-50.17,15.4,56.82,10.65,THANU,NORMAL
9.988,-41.43,14.74,74.72,14.38,THANU,NORMAL
17.056,-56.75,20.0,19.11,8.8,THANU,NORMAL
8.185,-35.0,20.0,23.23,0.0,THANU,WARNING
12.334,-47.4,20.0,13.61,1.34,THANU,NORMAL
10.312,-35.0,15.79,39.08,6.04,THANU,NORMAL
24.222,-72.2,12.19,88.96,13.15,THANU,WARNING
27.766,-89.59,10.83,55.67,12.03,THANU,NORMAL
22.907,-56.15,15.44,86.79,14.35,THANU,FAILURE
13.453,-60.1,13.23,17.53,0.0,THANU,WARNING
15.378,-46.03,15.09,15.05,4.38,THANU,FAILURE
4.19,-35.0,20.0,82.35,10.28,THANU,NORMAL
22.533,-71.03,12.78,54.8,5.33,THANU,WARNING
18.096,-67.93,13.14,52.38,8.52,THANU,WARNING
27.122,-77.41,10.97,52.81,12.94,THANU,NORMAL
6.418,-35.0,20.0,44.3,0.0,THANU,NORMAL
22.912,-70.98,9.49,89.78,0.0,THANU,WARNING
20.698,-63.96,17.86,56.89,8.67,THANU,NORMAL
8.342,-44.4,15.67,97.65,5.15,THANU,WARNING
20.188,-61.95,17.33,86.19,16.06,THANU,NORMAL
27.769,-82.0,4.26,76.38,8.02,THANU,WARNING
27.594,-74.3,13.55,67.26,12.93,THANU,FAILURE
21.729,-64.38,14.06,85.17,5.48,THANU,NORMAL
1.918,-35.0,20.0,89.36,11.23,THANU,WARNING
26.232,-73.23,11.83,21.99,1.88,THANU,WARNING
19.904,-52.81,18.97,42.38,7.42,THANU,WARNING
9.658,-37.94,20.0,82.49,1.85,THANU,NORMAL
6.024,-35.0,18.6,29.92,7.89,THANU,WARNING
3.928,-35.0,18.98,62.76,0.39,THANU,NORMAL
1.982,-35.0,20.0,80.24,7.88,THANU,NORMAL
22.746,-61.25,19.13,30.15,11.55,THANU,WARNING
7.457,-35.0,20.0,46.18,4.43,THANU,NORMAL
1.215,-35.0,18.99,92.36,5.34,THANU,NORMAL
12.219,-58.83,16.36,42.04,0.0,THANU,WARNING
14.737,-49.39,13.99,64.42,1.12,THANU,WARNING
5.492,-35.0,18.97,49.05,0.0,THANU,WARNING
1.799,-35.0,20.0,88.93,10.61,THANU,WARNING
6.079,-40.94,16.25,48.17,0.59,THANU,WARNING
20.534,-73.41,12.18,42.33,4.63,THANU,NORMAL
2.926,-35.0,20.0,25.59,5.37,THANU,WARNING
16.874,-57.13,14.09,41.43,7.37,THANU,WARNING
4.819,-35.0,20.0,70.26,12.47,THANU,WARNING
6.273,-35.0,18.28,25.82,4.86,THANU,WARNING
12.096,-35.0,15.32,73.48,4.59,THANU,NORMAL
3.474,-35.0,20.0,10.96,0.0,THANU,WARNING
5.61,-35.0,15.57,43.03,8.2,THANU,FAILURE
10.794,-38.9,20.0,51.93,1.91,THANU,WARNING
10.225,-51.19,15.47,18.65,13.42,THANU,FAILURE
22.604,-67.28,18.72,71.57,14.69,THANU,NORMAL
2.706,-35.0,20.0,19.25,10.81,THANU,WARNING
25.883,-58.67,17.94,18.1,8.09,THANU,FAILURE
24.579,-83.92,11.57,43.11,3.88,THANU,FAILURE
23.097,-78.61,13.62,76.45,0.13,THANU,WARNING
9.626,-39.69,20.0,96.73,4.93,THANU,WARNING
24.775,-64.2,11.47,79.84,8.37,THANU,WARNING
5.893,-35.0,17.48,51.94,17.09,THANU,FAILURE
4.17,-36.33,20.0,34.53,0.0,THANU,NORMAL
1.826,-35.0,20.0,37.13,13.61,THANU,WARNING
28.21,-77.94,17.33,35.53,5.34,THANU,WARNING
9.586,-39.57,20.0,35.05,9.47,THANU,NORMAL
27.57,-71.37,10.96,16.22,5.66,THANU,NORMAL
8.542,-35.0,20.0,29.84,0.0,THANU,WARNING
27.273,-85.15,11.37,19.71,2.16,THANU,NORMAL
27.166,-71.47,8.2,10.66,6.46,THANU,WARNING
27.748,-90.64,8.84,35.7,5.04,THANU,WARNING
15.137,-45.65,16.74,41.7,7.57,THANU,WARNING
26.045,-74.03,10.86,93.47,7.15,THANU,WARNING
28.548,-80.39,8.04,99.53,16.89,THANU,NORMAL
10.076,-39.94,19.26,62.15,14.16,THANU,FAILURE
12.857,-67.12,20.0,91.09,0.0,THANU,NORMAL
21.718,-66.21,10.47,65.64,13.03,THANU,FAILURE
9.361,-41.36,17.37,54.78,18.13,THANU,WARNING
22.737,-60.42,19.24,13.84,9.1,THANU,NORMAL
2.68,-35.0,20.0,14.01,7.59,THANU,FAILURE
15.943,-51.5,12.53,12.77,6.67,THANU,WARNING
4.108,-35.0,19.75,23.51,0.0,THANU,WARNING
9.153,-45.56,20.0,16.92,13.68,THANU,NORMAL
8.129,-39.21,20.0,27.52,14.42,THANU,WARNING
25.248,-74.67,12.06,56.73,5.65,THANU,FAILURE
6.209,-35.0,20.0,55.29,0.0,THANU,WARNING
24.349,-57.11,18.56,40.98,0.0,THANU,NORMAL
23.922,-81.69,10.26,69.94,6.57,THANU,WARNING
15.217,-43.15,15.11,45.27,11.0,THANU,NORMAL
7.398,-40.7,20.0,29.82,2.1,THANU,WARNING
7.193,-42.79,20.0,72.29,10.68,THANU,WARNING
14.215,-40.91,18.22,98.22,0.0,THANU,WARNING
0.76,-35.0,20.0,82.96,10.79,THANU,NORMAL
16.175,-37.68,20.0,47.26,0.67,THANU,FAILURE
28.607,-82.82,12.19,43.81,3.64,THANU,FAILURE
5.064,-35.66,20.0,13.48,2.25,THANU,NORMAL
17.414,-48.48,20.0,69.14,0.0,THANU,FAILURE
28.872,-68.34,11.18,30.04,11.4,THANU,NORMAL
25.885,-79.38,12.9,71.52,9.41,THANU,NORMAL
25.586,-73.51,16.0,78.42,0.0,THANU,WARNING
24.745,-81.26,10.06,89.18,13.75,THANU,NORMAL
9.616,-48.32,20.0,59.34,6.77,THANU,NORMAL
26.773,-82.53,7.72,84.7,0.0,THANU,WARNING
28.27,-73.84,12.51,75.09,10.46,THANU,WARNING
15.126,-62.41,20.0,41.77,6.09,THANU,WARNING
10.96,-45.26,20.0,19.58,5.07,THANU,WARNING
12.72,-42.26,20.0,31.8,5.7,THANU,FAILURE
10.359,-35.73,20.0,86.01,0.0,THANU,WARNING
6.766,-35.53,20.0,58.1,1.63,THANU,NORMAL
18.744,-68.0,17.66,69.9,12.39,THANU,WARNING
17.097,-56.28,20.0,82.55,6.42,THANU,WARNING
14.146,-46.29,20.0,70.03,1.94,THANU,FAILURE
3.327,-35.0,20.0,87.04,8.39,THANU,FAILURE
24.008,-79.61,17.41,17.77,2.96,THANU,NORMAL
5.661,-38.43,20.0,91.33,7.93,THANU,FAILURE
3.88,-35.0,18.01,83.14,15.22,THANU,WARNING
18.881,-67.98,14.79,91.27,11.06,THANU,FAILURE
12.26,-35.0,20.0,75.78,12.3,THANU,WARNING
2.264,-35.0,20.0,34.7,6.82,THANU,WARNING
10.989,-36.32,16.98,20.25,14.72,THANU,NORMAL
23.268,-78.02,11.16,21.67,22.66,THANU,NORMAL
18.65,-54.3,17.59,54.9,1.25,THANU,FAILURE
11.202,-38.7,18.15,45.18,17.09,THANU,NORMAL
6.158,-35.0,20.0,68.88,5.16,THANU,WARNING
19.138,-58.18,20.0,55.29,13.42,THANU,WARNING
26.683,-74.78,11.29,21.28,5.01,THANU,WARNING
19.565,-51.64,19.49,10.2,5.31,THANU,WARNING
24.481,-72.93,15.52,21.55,11.92,THANU,WARNING
15.885,-69.14,12.06,23.21,16.89,THANU,WARNING
21.68,-69.9,12.65,74.79,0.96,THANU,WARNING
26.939,-74.76,14.17,35.68,2.22,THANU,WARNING
23.309,-78.69,13.99,18.43,18.73,THANU,FAILURE
27.341,-70.15,11.51,77.98,7.08,THANU,WARNING
13.219,-49.45,20.0,94.64,1.2,THANU,FAILURE
27.174,-68.02,17.12,19.04,9.53,THANU,FAILURE
18.836,-55.56,17.38,96.68,6.28,THANU,WARNING
26.166,-69.59,12.53,95.52,7.58,THANU,NORMAL
1.662,-35.0,20.0,57.08,13.14,THANU,FAILURE
19.907,-71.45,13.3,36.62,2.07,THANU,FAILURE
25.515,-73.84,14.75,22.43,15.18,THANU,NORMAL
5.639,-35.0,20.0,84.15,4.02,THANU,WARNING
20.023,-57.05,18.12,64.43,7.69,THANU,NORMAL
24.836,-62.13,13.73,68.62,3.19,THANU,NORMAL
8.995,-42.32,15.22,87.48,6.91,THANU,FAILURE
12.455,-38.37,20.0,49.95,6.0,THANU,NORMAL
17.301,-54.66,18.0,43.13,13.72,THANU,NORMAL
15.815,-50.54,14.54,78.61,9.5,THANU,NORMAL
1.656,-35.0,16.48,36.75,3.63,THANU,NORMAL
3.411,-35.0,20.0,39.51,11.28,THANU,WARNING
3.464,-35.0,18.86,44.3,13.75,THANU,NORMAL
8.237,-37.8,20.0,87.07,2.88,THANU,NORMAL
7.753,-35.0,19.11,80.12,5.18,THANU,WARNING
22.396,-72.7,10.98,36.23,12.11,THANU,WARNING
17.396,-46.15,18.73,22.93,12.15,THANU,FAILURE
23.037,-67.9,12.88,45.35,5.72,THANU,WARNING
2.562,-35.0,18.34,66.21,3.29,THANU,WARNING
14.814,-53.58,19.27,70.86,14.13,THANU,FAILURE
10.051,-41.82,20.0,28.04,2.28,THANU,NORMAL
25.573,-74.97,15.16,32.45,6.3,THANU,FAILURE
21.38,-67.52,16.61,93.71,0.0,THANU,WARNING
26.143,-75.41,18.36,44.66,4.29,THANU,WARNING
1.87,-35.0,17.04,38.27,0.09,THANU,WARNING
21.764,-66.28,13.54,72.61,0.0,THANU,FAILURE
16.43,-58.76,14.7,52.11,6.9,THANU,WARNING
24.838,-88.55,10.75,32.21,12.17,THANU,WARNING
15.461,-48.71,12.16,46.84,0.06,THANU,NORMAL
16.436,-42.25,20.0,22.98,2.73,THANU,WARNING
2.027,-35.0,20.0,35.16,7.91,THANU,FAILURE
20.221,-60.61,17.93,47.66,5.73,THANU,WARNING
8.558,-35.0,20.0,56.62,9.07,THANU,WARNING
1.081,-35.0,20.0,76.75,14.42,THANU,WARNING
2.46,-35.0,20.0,44.64,0.0,THANU,FAILURE
28.74,-72.74,13.31,59.11,0.0,THANU,NORMAL
10.709,-38.85,20.0,95.59,7.83,THANU,WARNING
26.108,-84.57,11.14,83.65,0.0,THANU,NORMAL
28.81,-73.88,13.19,31.33,14.12,THANU,NORMAL
28.326,-78.94,13.72,29.21,12.83,THANU,FAILURE
26.511,-81.2,14.54,69.64,11.11,THANU,NORMAL
26.898,-73.82,12.96,63.58,14.56,THANU,NORMAL
9.026,-37.08,20.0,59.22,0.07,THANU,FAILURE
4.968,-35.0,20.0,23.88,7.5,THANU,WARNING
19.358,-55.5,19.43,42.64,2.52,THANU,WARNING
14.899,-52.8,20.0,78.34,10.6,THANU,NORMAL
3.413,-38.08,20.0,75.12,2.55,THANU,FAILURE
20.487,-71.86,20.0,24.87,0.46,THANU,WARNING
17.104,-55.67,20.0,48.42,9.35,THANU,NORMAL
25.96,-63.14,15.23,49.84,16.03,THANU,WARNING
18.471,-63.03,17.09,55.77,6.52,THANU,NORMAL
17.431,-61.36,15.39,51.5,18.48,THANU,NORMAL
13.502,-52.61,16.56,55.15,17.43,THANU,NORMAL
14.152,-58.38,19.12,83.18,5.66,THANU,NORMAL
28.654,-82.45,10.55,45.05,13.5,THANU,NORMAL
4.584,-35.0,20.0,59.68,13.48,THANU,FAILURE
13.663,-48.3,17.32,64.61,3.58,THANU,NORMAL
19.847,-61.16,12.07,94.81,15.0,THANU,NORMAL
13.274,-53.88,16.59,68.93,0.0,THANU,NORMAL
8.855,-41.42,20.0,21.76,17.14,THANU,NORMAL
8.977,-45.59,17.47,62.42,1.28,THANU,FAILURE
7.393,-35.0,20.0,69.57,13.74,THANU,NORMAL
10.645,-35.0,17.72,10.86,3.91,THANU,WARNING
26.214,-83.51,8.5,16.78,2.42,THANU,WARNING
15.404,-57.75,19.82,11.71,15.54,THANU,WARNING
7.587,-35.0,19.17,14.34,13.95,THANU,WARNING
11.844,-45.46,20.0,18.07,2.74,THANU,FAILURE
3.622,-35.0,19.99,96.2,3.29,THANU,NORMAL
27.169,-78.77,11.71,28.6,8.25,THANU,FAILURE
12.542,-40.29,20.0,28.41,9.37,THANU,WARNING
29.422,-83.52,18.61,87.17,13.92,THANU,WARNING
10.752,-35.0,19.78,77.75,5.76,THANU,WARNING
25.173,-77.22,18.74,70.82,0.0,THANU,FAILURE
8.063,-35.0,20.0,47.96,0.0,THANU,WARNING
2.747,-35.0,20.0,12.81,12.13,THANU,NORMAL
1.436,-35.0,20.0,84.39,0.46,THANU,NORMAL
18.382,-66.22,14.56,87.47,11.92,THANU,WARNING
9.691,-35.0,20.0,53.36,1.75,THANU,NORMAL
13.584,-53.79,19.53,68.04,14.41,THANU,FAILURE
24.65,-80.66,12.43,52.99,0.0,THANU,FAILURE
7.819,-40.59,20.0,36.65,4.7,THANU,WARNING
9.605,-35.0,20.0,58.63,3.29,THANU,WARNING
25.437,-72.64,13.19,71.97,6.23,THANU,WARNING
15.036,-43.53,19.86,23.91,0.0,THANU,NORMAL
24.916,-69.84,12.39,57.76,4.0,THANU,NORMAL
11.547,-46.81,20.0,79.84,10.93,THANU,FAILURE
12.252,-55.3,16.83,52.8,8.32,THANU,NORMAL
5.431,-35.0,20.0,24.12,3.79,THANU,WARNING
27.532,-70.71,17.12,88.28,5.63,THANU,NORMAL
26.955,-81.04,13.35,70.65,3.37,THANU,WARNING
29.534,-92.15,6.06,66.93,6.14,THANU,WARNING
12.372,-49.16,20.0,68.65,0.04,THANU,WARNING
24.649,-53.01,18.45,32.06,6.85,THANU,FAILURE
12.741,-50.57,18.62,54.31,2.49,THANU,NORMAL
13.902,-52.77,14.7,39.34,5.26,THANU,NORMAL
24.985,-86.12,12.61,85.02,12.73,THANU,FAILURE
5.732,-35.0,17.7,62.99,0.0,THANU,FAILURE
6.999,-35.0,16.87,74.56,3.04,THANU,NORMAL
9.784,-40.55,20.0,69.43,6.35,THANU,WARNING
23.751,-73.6,14.4,53.53,3.09,THANU,FAILURE
11.493,-35.58,18.76,82.44,17.5,THANU,NORMAL
11.066,-45.24,17.56,65.38,14.51,THANU,FAILURE
29.965,-77.05,15.99,30.41,0.0,THANU,NORMAL
11.822,-44.69,20.0,36.17,0.0,THANU,WARNING
7.809,-35.0,20.0,84.43,1.34,THANU,FAILURE
18.885,-54.41,19.99,94.71,11.24,THANU,NORMAL
24.155,-63.52,18.09,59.32,3.16,THANU,WARNING
2.553,-35.0,17.72,44.7,6.2,THANU,NORMAL
18.757,-57.71,16.98,66.25,14.39,THANU,NORMAL
1.554,-35.0,20.0,53.52,7.48,THANU,NORMAL
16.027,-57.23,17.46,85.75,5.97,THANU,NORMAL
8.081,-35.47,15.05,84.97,0.0,THANU,WARNING
9.546,-38.37,20.0,51.05,14.6,THANU,FAILURE
14.279,-48.49,20.0,82.41,1.03,THANU,WARNING
27.85,-87.75,8.51,27.37,8.29,THANU,NORMAL
21.465,-66.35,15.52,43.65,15.9,THANU,WARNING
28.137,-95.35,12.91,17.16,2.52,THANU,WARNING
19.969,-53.36,12.9,82.7,2.08,THANU,WARNING
0.71,-35.0,20.0,97.77,3.82,THANU,NORMAL
8.335,-35.0,20.0,61.91,9.43,THANU,WARNING
