Device_Type,Environment_Type,Weather_Condition,Distance,Transmission_Power,Frequency_Channel,Packet_Size,Battery_Level,RSSI,SNR,Delivery_Success,Energy_Cost,Bandwidth,Spreading_Factor,Coding_Rate,Data_Rate,Channel_Occupancy,Interference_Power,Interference_Duration,Interference_Density,Packet_Collision_Rate,Retransmission_Count,Packet_Loss_Rate,Latency,Jitter,Propagation_Delay,Gateway_Distance,Gateway_Signal_Quality,Gateway_Load,Battery_Voltage,Device_Temperature,Ambient_Temperature,Ambient_Humidity,Atmospheric_Pressure,Wind_Speed,Rainfall,Terrain_Obstruction,Node_Density,Network_Congestion,Channel_Switch_Count,Connection_Attempt_Count,Acknowledgment_Rate
Smart_Meter,Industrial,Heavy_Rain,19.325,15.98,433,186,43.3,-61.11,14.49,Failure,3.241,62.5,9,4/5,13.418,50.9,-63.31,21.71,0.659,22.74,0,9.99,110.85,23.08,0.0645,21.061,73.5,56.46,3.42,37.18,20.43,57.75,996.57,12.42,4.74,0.927,341.02,42.69,6,5,93.66
Tracking_Device,Urban,Clear,14.049,11.9,915,178,30.77,-61.74,18.1,Success,3.077,31.25,11,4/7,26.187,6.9,-69.52,369.19,0.302,7.38,2,3.61,126.66,8.53,0.0469,14.477,85.89,36.74,3.155,59.72,41.76,95.03,994.19,11.18,2.24,0.794,294.02,27.46,9,4,100.0
Environmental_Node,Urban,Clear,28.953,12.53,470,97,99.55,-82.5,9.17,Success,2.369,250.0,7,4/5,1.829,86.68,-85.22,82.47,0.532,19.85,3,8.08,149.09,24.02,0.0967,30.678,73.9,73.42,4.179,16.67,41.7,68.45,1009.5,16.86,0.59,0.161,117.58,40.83,2,4,99.68
Industrial_Node,Rural,Rain,6.96,13.61,470,228,34.35,-37.69,20.0,Failure,3.198,62.5,9,4/8,57.866,45.09,-87.16,458.73,0.057,5.31,4,2.23,131.44,29.6,0.0232,8.471,91.63,42.36,3.343,45.42,25.95,50.7,1003.26,1.28,0.97,0.273,372.43,50.63,4,6,100.0
Sensor_Node,Industrial,Cloudy,17.842,14.07,433,236,44.05,-68.73,12.05,Success,3.546,250.0,9,4/8,17.787,6.64,-82.47,328.59,0.525,9.54,1,3.42,117.77,2.52,0.0596,18.4,72.57,78.16,3.381,46.32,37.69,98.18,994.19,13.94,14.16,0.247,262.11,17.78,1,3,100.0
Sensor_Node,Suburban,Heavy_Rain,21.156,14.85,433,193,53.29,-70.01,16.03,Failure,3.237,15.6,10,4/8,32.191,47.85,-71.73,151.45,0.742,21.95,4,11.2,155.1,28.65,0.0707,21.492,79.25,86.49,3.565,48.57,33.74,47.89,1010.03,1.32,5.46,0.809,368.25,62.09,8,7,92.88
Sensor_Node,Urban,Foggy,24.854,15.11,915,204,76.56,-73.74,14.23,Success,3.359,125.0,8,4/6,28.895,56.88,-87.19,216.17,0.036,7.2,2,0.0,131.13,14.73,0.083,25.731,80.36,94.54,3.814,66.53,39.67,68.58,1008.81,11.39,0.91,0.914,359.14,37.95,4,1,100.0
Tracking_Device,Rural,Clear,12.506,19.11,923,125,23.69,-46.62,20.0,Failure,2.884,31.25,7,4/5,24.388,86.6,-83.85,208.89,0.87,23.74,1,14.1,88.02,3.17,0.0418,14.384,89.76,89.6,3.185,41.5,24.03,24.07,1009.11,10.83,2.87,0.273,459.08,80.8,1,1,96.49
Industrial_Node,Rural,Heavy_Rain,20.764,20.19,470,184,33.95,-66.87,15.52,Success,3.048,62.5,7,4/7,11.262,25.27,-61.82,274.6,0.704,16.03,3,7.48,130.56,10.72,0.0694,21.212,85.02,61.61,3.279,32.74,29.51,38.12,1022.49,19.45,12.21,0.311,69.19,21.54,7,7,99.76
Environmental_Node,Rural,Clear,9.444,16.18,470,174,99.72,-46.14,20.0,Success,2.822,7.8,12,4/7,37.349,56.54,-80.76,112.65,0.743,23.71,3,9.31,100.6,2.84,0.0315,10.722,100.0,67.11,4.225,64.63,31.28,84.69,1008.77,11.14,1.24,0.277,387.6,53.67,0,2,100.0
Sensor_Node,Suburban,Cloudy,13.347,28.15,923,229,84.26,-45.9,19.74,Success,4.03,15.6,11,4/5,33.559,53.02,-69.21,55.49,0.379,17.78,2,0.41,126.42,19.15,0.0446,15.099,87.67,13.04,4.003,44.15,33.76,65.78,1008.67,12.65,6.1,0.877,293.2,43.44,6,2,100.0
Tracking_Device,Rural,Clear,26.921,21.06,915,176,49.95,-76.13,13.54,Failure,3.188,125.0,7,4/5,26.687,14.68,-79.07,303.65,0.467,4.42,0,0.0,136.31,26.71,0.0899,27.04,75.75,58.91,3.512,64.0,43.27,20.11,994.39,12.13,0.72,0.984,465.24,43.04,6,7,99.19
Environmental_Node,Suburban,Clear,28.522,25.75,868,132,19.78,-75.83,18.87,Failure,3.361,31.25,9,4/8,33.188,91.55,-82.43,291.97,0.413,24.02,0,4.78,113.79,28.2,0.0953,30.511,76.97,45.53,3.155,46.96,38.49,64.43,1028.44,12.23,10.33,0.565,85.53,54.95,4,2,100.0
